Corner,Summary,Lei,Decreto-Lei,Decreto,Decreto-Regulamentar,Resolução do Conselho de Ministros,Portaria,Despacho Normativo
Explicação de cada diploma,-,"Acto legislativo, emanado pela Assembleia da República, no exercício da sua função legislativa, ao abrigo do artigo 164.º e 165.º da Constituição da República Portuguesa","Acto legislativo, diploma do Governo, no exercício da sua função legislativa, ao abrigo do artigo 198.º da Constituição da República Portuguesa","Diploma do Governo que visa aprovar os acordos internacionais, ao abrigo do artigo 197.º, n.º 1, al. c), da Constituição da República Portuguesa","Regulamento. Acto normativo. Diploma do Governo, no exercício da sua função administrativa, ao abrigo dos artigos 199.º, als. c) ou g), e 112.º, n.º 6 . É pouco comum",Quando o Governo reúne em plenário concretiza-se o Conselho de Ministros. Acto normativo do Governo no exercício da sua função administrativa.,"Acto normativo, diploma do Governo, no exercício da sua função administrativa. É muito comum que a própria lei determine a sua execução mediante portaria.","Acto normativo, diploma do Governo, no exercício da sua função administrativa."
Lei Formulária,-,"As leis da Assembleia da República obedecem ao formulário seguinte:
«A Assembleia da República decreta, nos termos da alínea... do artigo 161.º da Constituição, o seguinte:
(Segue-se o texto.)» Tratando-se de lei constitucional ou orgânica, deve mencionar-se expressamente o termo correspondente, na parte final da fórmula. Tratando-se de resoluções de aprovação de tratados ou acordos internacionais, o texto é composto do seguinte modo:
«Aprovar (para ratificação, no caso dos tratados) o... (segue-se a identificação do tratado ou do acordo internacional em forma simplificada, com indicação da matéria a que respeita, do local e data da assinatura, sendo o teor do respetivo instrumento publicado em anexo).»"," Os decretos-leis obedecem ao formulário seguinte:
a) Decretos-leis previstos na alínea a) do n.º 1 do artigo 198.º da Constituição:
«Nos termos da alínea a) do n.º 1 do artigo 198.º da Constituição, o Governo decreta o seguinte:
(Segue-se o texto.)»
b) Decretos-leis previstos na alínea b) do n.º 1 do artigo 198.º da Constituição:
«No uso da autorização legislativa concedida pelo artigo... da Lei n.º ...., de... de..., e nos termos da alínea b) do n.º 1 do artigo 198.º da Constituição, o Governo decreta o seguinte:
(Segue-se o texto.)»
c) Decretos-leis previstos na alínea c) do n.º 1 do artigo 198.º da Constituição:
«No desenvolvimento do regime jurídico estabelecido pela Lei (ou Decreto-Lei) n.º ...., de... de..., e nos termos da alínea c) do n.º 1 do artigo 198.º da Constituição, o Governo decreta o seguinte:
(Segue-se o texto.)»
d) Decretos-leis previstos no n.º 2 do artigo 198.º da Constituição:
«Nos termos do disposto no n.º 2 do artigo 198.º da Constituição, o Governo decreta o seguinte:
(Segue-se o texto.)»","«Nos termos da alínea c) do n.º 1 do artigo 197.º da Constituição, o Governo aprova o... (segue-se a identificação do acordo internacional em forma simplificada, com indicação da matéria a que respeita, do local e da data da assinatura, sendo o teor do respetivo instrumento publicado em anexo).»","«Nos termos da alínea c) do artigo 199.º da Constituição e... (segue-se a identificação do ato legislativo a regulamentar), o Governo decreta o seguinte: : ""segue-se o texto""","«Nos termos da alínea... do artigo 199.º da Constituição, o Conselho de Ministros resolve:
(Segue-se o texto.)»
«Nos termos do... (segue-se a identificação do ato e da respetiva norma que estabelece a exigência de resolução) e da alínea... do artigo 199.º da Constituição, o Conselho de Ministros resolve:
(Segue-se o texto.)»","«Manda o Governo, pelo... (indicar o membro ou membros competentes), o seguinte: ""segue o texto""",Inicia por identificar o acto legislativo que lhe serve de base. 
Metadados relevantes,Explicação geral dos metadados,-,-,-,-,-,,
Exemplo,-,"L n.º 74/98, de 11 de novembro","DL n.º 4/2024, de 5 de janeiro","Decreto n.º 1/2024, de 22 de janeiro",Decreto-Regulamentar n.º 3/2024 de 21 de fevereiro,"Resolução do Conselho de Ministros 
n.º 28/2024, de 23 de fevereiro",Portaria n.º  68/2024,"Despacho Normativo n.º 1/2024, de 5 de janeiro"
1. Local da Publicação,1.ª ou 2.ª Série do Diário da República,1.ª Série,1.ª Série,1.ª Série,1.ª série,1.ª série,1.ª Série,2.ª Série
2. Número de Publicação,Ordenam-se conforme a ordem pela qual foram criados dentro de cada ano civil,n.º 74,n.º 4,n.º 1,n.º 37,n.º 28,n.º 68,n.º 1
3. Data de publicação,dia/mês/ano,11/11/1998,5/1/2024,22/1/2024,21/2/2024,23/2/2024,23/2/2024,5/1/2024
4. Entidade Emissora,"Pode ser a Assembleia da República, o Governo, a Presidência do Conselho de Ministros, um Ministério em Especial ou uma Secretaria de Estado de algum Ministério",Assembleia da República,Presidência do Conselho de Ministros,Presidência do Conselho de Ministros,Presidência do Conselho de Ministros,Presidência do Conselho de Ministros,Presidência do Conselho de Ministros,"Gabinete do Secretário de Estado do Turismo, Comércio e Serviços (Ministério da Economia e Mar)"
5. Identificação do diploma,Fórmula usualmente utilizada para identificar os diplomas,"Lei n.º 74/98, de 11 de novembro","Decreto-Lei n.º 4/2024, de 5 de janeiro","Decreto n.º 1/2024, de 22 de janeiro",Decreto-Regulamentar n.º 3/2024 de 21 de fevereiro,"Resolução do Conselho de Ministros 
n.º 28/2024, de 23 de fevereiro","Portaria n.º  68/2024, de 23 de fevereiro","Despacho Normativo n.º 1/2024, de 5 de janeiro"
6. Sumário,Contém a indicação do assunto principal do diploma,"Publicação, identificação e formulário dos diplomas",Institui o mercado voluntário de carbono e estabelece as regras para o seu funcionamento.,Aprova o Acordo de Cooperação Económica entre a República Portuguesa e a República da Moldova,"Procede à fixação do universo dos contribuintes abrangidos pela declaração automática
de rendimentos.",não aplicável ao caso,Décima segunda alteração ao Regulamento Específico do Domínio da Competitividade e Internacionalização,"Prorroga o prazo de apresentação de candidaturas ao concurso específico da Linha Interior + Turismo, aberto na sequência dos incêndios de 4 e 5 de agosto de 2023"
7. Preâmbulo,"Contém um enquadramento legal e justificativo do diploma, que normalmente termina com a indicação de que a entidade emissora “decreta o seguinte”","A Assembleia da República decreta, nos termos da alínea c) do artigo 161.º da Constituição, para valer como lei geral da República, o seguinte:",v. diploma,v. diploma,v. diploma,v. diploma,v. diploma,v. diploma
8. Articulado do Diploma,"Contém a parte dispositiva do diploma, artigos/normas legais",v. diploma,v. diploma,v. diploma,v. diploma,v. diploma,v. diploma,v. diploma
9. Anexos,"Pode conter ou não; são usualmente colocadas as tabelas, listagem, mapas, símbolos, ou outros elementos gráficos ou quantitativos referidos no articulado",v. diploma,v. diploma,v. diploma,v. diploma,v. diploma,v. diploma,v. diploma